Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Organic &amp; Biomolecular Chemistry	6	 	3.451	3.321	1	8
RNA (New York)	6	6	6.051	5.486	2	16
The American Naturalist	6	 	4.736	5.385	1	16
Nature	6	 	36.104	35.248	1	139
Cell	8	 	32.406	34.931	1	86
Science (New York)	6	 	31.377	31.777	1	118
Nature	10	6	36.104	35.248	2	534
Journal of Experimental Botany	6	 	4.818	4.99	1	17
The Journal of Experimental Medicine	6	 	14.776	15.7	1	230
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	91
The Journal of Biological Chemistry	6	 	5.328	5.498	1	25
Nature	10	10	36.104	35.248	2	107
Nature	6	6	36.104	35.248	2	124
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	83
Proceedings. Biological Sciences / the Royal Society	8	 	5.064	5.443	1	20
Science (New York)	8	 	31.377	31.777	1	395
Bioinformatics	6	 	4.877	6.326	1	56
Nature	8	 	36.104	35.248	1	83
Science (New York)	6	6	31.377	31.777	2	173
Science (New York)	8	 	31.377	31.777	1	170
Genetics	6	 	4.087	4.311	1	31
Current Biology	8	 	10.026	11.436	1	57
Science (New York)	6	6	31.377	31.777	2	278
Nature	6	 	36.104	35.248	1	124
The Journal of Neuroscience	6	6	7.271	8.068	2	166
Nature	8	6	36.104	35.248	2	163
Gastroenterology	6	 	12.032	12.403	1	245
The EMBO Journal	6	 	10.124	9.369	1	18
The Journal of Biological Chemistry	6	 	5.328	5.498	1	25
Immunity	6	 	24.221	22.133	1	64
The Journal of Experimental Medicine	6	 	14.776	15.7	1	96
Science (New York)	6	8	31.377	31.777	2	181
PLoS Pathogens	8	 	9.079	9.675	1	116
The Plant Cell	6	8	9.396	10.648	2	68
Nature	6	8	36.104	35.248	2	151
Journal of the American Chemical Society	6	 	9.023	8.981	1	15
Nature	6	 	36.104	35.248	1	69
Angewandte Chemie	8	 	12.73	12.05	1	15
Mycologia	6	 	1.641	2.316	1	20
The EMBO Journal	6	 	10.124	9.369	1	39
Endocrinology	8	10	4.993	5.265	2	264
Proceedings. Biological Sciences / the Royal Society	8	 	5.064	5.443	1	21
Development	6	 	6.898	7.476	1	17
Dalton Transactions	6	 	3.647	3.654	1	4
Environmental Microbiology	6	 	5.537	5.638	1	73
Circulation	6	 	14.432	14.932	1	107
American Journal of Physiology. Gastrointestinal and Liver Physiology	6	 	3.522	3.609	1	18
Genetics	6	 	4.087	4.311	1	32
Plant Physiology	6	 	6.451	7.016	1	175
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	40
Nature Biotechnology	6	 	31.09	29.065	1	54
Genes &amp; Development	8	6	12.889	13.892	2	50
Evolution &amp; Development	6	 	3.075	3.292	1	24
Developmental Cell	6	6	13.946	14.24	2	73
The Journal of Cell Biology	8	 	9.921	10.123	1	95
The Journal of Experimental Medicine	6	 	14.776	15.7	1	208
Science (New York)	6	 	31.377	31.777	1	131
RNA (New York)	8	 	6.051	5.486	1	65
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	75
Developmental Cell	6	 	13.946	14.24	1	45
Molecular Cell	8	6	14.194	14.447	2	308
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	53
Genes &amp; Development	6	10	12.889	13.892	2	132
Nature	8	 	36.104	35.248	1	92
Developmental Biology	6	6	4.094	4.42	2	35
Plant Physiology	8	 	6.451	7.016	1	50
PLoS Computational Biology	6	 	5.515	6.251	1	102
Nature	6	10	36.104	35.248	2	162
Molecular and Cellular Biology	6	 	6.188	6.381	1	70
Science (New York)	8	8	31.377	31.777	2	138
The Journal of Experimental Medicine	6	 	14.776	15.7	1	46
Journal of Alzheimer's Disease	6	 	4.261	5.072	1	59
Journal of Alzheimer's Disease	6	 	4.261	5.072	1	26
Nature	8	8	36.104	35.248	2	133
Journal of Cell Science	8	 	6.29	6.731	1	26
Molecular Cell	6	 	14.194	14.447	1	31
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	15
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	54
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	11
Nature Genetics	6	 	36.377	32.701	1	102
Nature Neuroscience	6	8	14.191	16.19	2	41
Biochemistry	6	 	3.226	3.15	1	22
Environmental Microbiology	6	 	5.537	5.638	1	60
The EMBO Journal	8	6	10.124	9.369	2	274
Journal of Virology	8	 	5.189	5.257	1	117
Journal of Virology	6	 	5.189	5.257	1	40
Journal of Virology	6	 	5.189	5.257	1	60
Nature Neuroscience	6	 	14.191	16.19	1	115
Nature	8	 	36.104	35.248	1	105
The New England Journal of Medicine	8	 	53.486	52.363	1	1050
Immunity	8	6	24.221	22.133	2	351
Journal of Immunology	6	 	5.745	5.909	1	9
The Journal of Cell Biology	6	 	9.921	10.123	1	20
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	377
The Journal of Neuroscience	6	6	7.271	8.068	2	109
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	38
Journal of the American Chemical Society	6	 	9.023	8.981	1	138
PLoS Computational Biology	6	 	5.515	6.251	1	24
Journal of the American Chemical Society	6	 	9.023	8.981	1	54
Nature	8	 	36.104	35.248	1	208
Journal of Immunology	6	 	5.745	5.909	1	16
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	9
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	98
The Journal of Neuroscience	8	8	7.271	8.068	2	85
BMC Biology	6	 	5.203	5.479	1	45
Nature Methods	8	 	20.721	19.286	1	70
Applied and Environmental Microbiology	8	 	3.778	4.529	1	35
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	55
Nature	6	 	36.104	35.248	1	314
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	240
Neuron	6	 	14.027	14.927	1	126
Science (New York)	8	10	31.377	31.777	2	47
Journal of the American Chemical Society	6	 	9.023	8.981	1	25
Developmental Cell	6	8	13.946	14.24	2	35
Nature	8	6	36.104	35.248	2	234
Development	6	 	6.898	7.476	1	100
Genetics	6	 	4.087	4.311	1	61
Oral Microbiology and Immunology	6	 	2.479	2.401	1	10
Nature	8	 	36.104	35.248	1	110
Nature	8	 	36.104	35.248	1	80
Cell	8	 	32.406	34.931	1	91
Molecular Cell	8	 	14.194	14.447	1	36
Human Mutation	6	 	5.956	6.212	1	59
Science (New York)	10	 	31.377	31.777	1	63
Molecular Phylogenetics and Evolution	6	 	3.889	4.394	1	94
Journal of Cell Science	10	 	6.29	6.731	1	27
The Journal of Neuroscience	6	 	7.271	8.068	1	69
Biology Letters	6	 	3.651	3.821	1	30
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	27
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	45
The Journal of Biological Chemistry	6	 	5.328	5.498	1	75
Journal of Immunology	8	 	5.745	5.909	1	108
Infection and Immunity	6	 	4.098	4.091	1	57
Cancer Cell	8	 	26.925	28.438	1	111
Genetics	6	 	4.087	4.311	1	59
Circulation Research	8	 	9.504	10.19	1	26
Nature	8	 	36.104	35.248	1	306
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	32
Cell	6	 	32.406	34.931	1	95
Journal of Virology	8	 	5.189	5.257	1	124
Cell	8	8	32.406	34.931	2	277
Infection and Immunity	8	 	4.098	4.091	1	70
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	22
Nature	8	 	36.104	35.248	1	173
Journal of Cell Science	6	 	6.29	6.731	1	26
Nature Neuroscience	6	 	14.191	16.19	1	104
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	49
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	45
Nature Cell Biology	8	 	19.407	19.578	1	210
RNA (New York)	6	 	6.051	5.486	1	24
Molecular Cell	6	8	14.194	14.447	2	68
Cancer Research	8	 	8.234	8.438	1	168
Molecular and Cellular Biology	8	6	6.188	6.381	2	42
"Arteriosclerosis, Thrombosis, and Vascular Biology"	6	 	7.215	7.544	1	23
The Plant Cell	8	 	9.396	10.648	1	64
Plant Physiology	6	 	6.451	7.016	1	36
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	89
PLoS Biology	6	 	12.472	14.376	1	60
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	68
The Journal of Biological Chemistry	6	 	5.328	5.498	1	14
Neuron	8	 	14.027	14.927	1	43
The Journal of Neuroscience	6	10	7.271	8.068	2	110
Current Biology	6	 	10.026	11.436	1	5
Journal of Molecular Biology	6	 	4.008	4.095	1	23
Journal of Molecular Biology	6	 	4.008	4.095	1	30
Journal of Bacteriology	6	 	3.726	3.818	1	54
RNA (New York)	6	 	6.051	5.486	1	207
PLoS Biology	8	 	12.472	14.376	1	99
Cell	10	10	32.406	34.931	2	124
Cell	8	10	32.406	34.931	2	85
Biochemistry	6	 	3.226	3.15	1	7
The Journal of Experimental Medicine	8	 	14.776	15.7	1	65
The Journal of Neuroscience	6	 	7.271	8.068	1	29
Neuroreport	8	 	1.822	2.195	1	31
The Journal of Biological Chemistry	6	 	5.328	5.498	1	16
Science (New York)	8	8	31.377	31.777	2	100
Angewandte Chemie	8	6	12.73	12.05	2	23
Chemistry &amp; Biology	6	 	5.838	5.976	1	32
The Journal of Biological Chemistry	6	 	5.328	5.498	1	45
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	14
Molecular Cell	8	6	14.194	14.447	2	82
Bio Systems	6	 	1.478	1.491	1	14
The Journal of General Physiology	8	 	4.283	4.712	1	68
The Journal of General Physiology	8	 	4.283	4.712	1	42
Biochemistry	6	 	3.226	3.15	1	32
Nature Cell Biology	6	 	19.407	19.578	1	98
Journal of the American Chemical Society	6	 	9.023	8.981	1	15
Microbiology	6	6	0.813	0.903	2	116
Nature Immunology	10	8	25.668	25.934	2	105
Journal of Cell Science	6	 	6.29	6.731	1	9
Biochemistry	6	 	3.226	3.15	1	18
RNA (New York)	8	 	6.051	5.486	1	12
The Journal of Infectious Diseases	6	 	6.288	6.103	1	58
Nature Methods	6	8	20.721	19.286	2	33
Cell	8	8	32.406	34.931	2	59
Diabetes Care	6	 	7.141	7.285	1	47
The EMBO Journal	6	 	10.124	9.369	1	105
Nature Structural &amp; Molecular Biology	8	 	13.685	12.481	1	99
The Journal of Biological Chemistry	6	6	5.328	5.498	2	20
Nature Immunology	6	6	25.668	25.934	2	75
Science (New York)	8	8	31.377	31.777	2	47
The Journal of Cell Biology	8	 	9.921	10.123	1	99
The Journal of Cell Biology	8	 	9.921	10.123	1	10
Nature	8	 	36.104	35.248	1	84
Nature	8	 	36.104	35.248	1	183
The Journal of Clinical Investigation	8	 	14.152	16.641	1	30
Science (New York)	8	 	31.377	31.777	1	304
Biophysical Journal	6	 	4.218	4.692	1	16
Developmental Biology	6	 	4.094	4.42	1	166
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	22
Journal of Cell Science	6	 	6.29	6.731	1	60
Biometals	8	 	2.32	2.901	1	7
Plant Physiology	6	6	6.451	7.016	2	56
Science (New York)	10	 	31.377	31.777	1	153
Nature Immunology	8	 	25.668	25.934	1	180
Cell Cycle	8	 	4.999	4.499	1	13
Journal of Cell Science	6	 	6.29	6.731	1	32
Nature	8	8	36.104	35.248	2	117
Nature	8	10	36.104	35.248	2	121
Genome Biology	6	 	6.885	7.354	1	103
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	126
Nucleic Acids Research	6	 	7.836	7.314	1	12
DNA Repair	6	 	4.293	4.303	1	9
PLoS Pathogens	8	 	9.079	9.675	1	33
Current Biology	6	 	10.026	11.436	1	59
Journal of Bacteriology	6	 	3.726	3.818	1	22
The Journal of Biological Chemistry	8	 	5.328	5.498	1	33
Angewandte Chemie	10	 	12.73	12.05	1	30
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	116
Science (New York)	6	8	31.377	31.777	2	107
Immunity	8	8	24.221	22.133	2	279
Nature	8	8	36.104	35.248	2	123
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	91
Nature Neuroscience	10	8	14.191	16.19	2	107
The Journal of Clinical Investigation	6	 	14.152	16.641	1	168
Journal of Computational Neuroscience	6	 	2.325	2.448	1	62
Science (New York)	10	 	31.377	31.777	1	145
Cell	8	 	32.406	34.931	1	240
Circulation	6	 	14.432	14.932	1	68
The Journal of Clinical Endocrinology and Metabolism	6	 	6.495	6.438	1	19
Blood	8	 	10.558	10.075	1	102
Genes &amp; Development	8	 	12.889	13.892	1	67
The American Journal of Tropical Medicine and Hygiene	6	 	2.446	2.884	1	9
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	30
Genetics	6	 	4.087	4.311	1	51
Journal of Immunology	6	6	5.745	5.909	2	134
Journal of the American Chemical Society	6	 	9.023	8.981	1	69
Science (New York)	8	 	31.377	31.777	1	65
The Plant Cell	6	 	9.396	10.648	1	105
International Microbiology	8	 	1.635	2.395	1	61
Nature	8	8	36.104	35.248	2	627
Chemistry &amp; Biology	6	 	5.838	5.976	1	37
Science (New York)	10	6	31.377	31.777	2	71
Hepatology	6	 	10.885	11.044	1	13
Neuron	8	6	14.027	14.927	2	102
Journal of Molecular Biology	6	6	4.008	4.095	2	24
Nature Neuroscience	6	 	14.191	16.19	1	52
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	134
Science (New York)	6	 	31.377	31.777	1	31
The Journal of Neuroscience	6	10	7.271	8.068	2	18
The Journal of Biological Chemistry	6	 	5.328	5.498	1	27
The Journal of Neuroscience	6	 	7.271	8.068	1	47
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	179
Molecular Cell	10	 	14.194	14.447	1	94
Nature Immunology	8	8	25.668	25.934	2	165
Human Molecular Genetics	6	 	8.058	8.145	1	87
Nature	6	8	36.104	35.248	2	319
The Plant Cell	6	 	9.396	10.648	1	130
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	53
Current Biology	6	6	10.026	11.436	2	197
Current Biology	8	 	10.026	11.436	1	148
The Plant Cell	8	6	9.396	10.648	2	71
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	29
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	47
Nature Chemical Biology	8	 	15.808	16.321	1	65
Proceedings of the National Academy of Sciences of the United States of America	10	 	9.771	10.591	1	61
Hypertension	6	 	6.908	6.949	1	26
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	235
Nature Structural &amp; Molecular Biology	10	6	13.685	12.481	2	101
Angewandte Chemie	6	 	12.73	12.05	1	28
Nature Biotechnology	6	 	31.09	29.065	1	118
Nature	6	 	36.104	35.248	1	112
Journal of the American Chemical Society	6	 	9.023	8.981	1	105
Biochemistry	6	 	3.226	3.15	1	28
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	78
Eukaryotic Cell	6	 	3.395	3.637	1	28
Science (New York)	6	 	31.377	31.777	1	42
Development	6	 	6.898	7.476	1	42
Biotechniques	6	 	2.55	2.678	1	153
The Plant Cell	6	6	9.396	10.648	2	44
Planta	6	 	3.098	3.451	1	24
Plant &amp; Cell Physiology	6	 	4.257	3.941	1	52
The Plant Cell	6	6	9.396	10.648	2	129
Development	6	 	6.898	7.476	1	37
Genes &amp; Development	10	 	12.889	13.892	1	95
Cell	8	 	32.406	34.931	1	88
Genes &amp; Development	8	 	12.889	13.892	1	75
The Journal of Cell Biology	6	6	9.921	10.123	2	129
Cell	6	 	32.406	34.931	1	221
The American Journal of Tropical Medicine and Hygiene	8	 	2.446	2.884	1	84
The Journal of Biological Chemistry	8	 	5.328	5.498	1	18
The Journal of Biological Chemistry	6	 	5.328	5.498	1	77
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	45
Developmental Cell	8	 	13.946	14.24	1	117
Human Molecular Genetics	6	 	8.058	8.145	1	70
Human Genetics	6	 	5.047	4.257	1	41
The American Naturalist	6	 	4.736	5.385	1	40
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	15
Nature Genetics	8	10	36.377	32.701	2	161
Cell	8	8	32.406	34.931	2	149
Langmuir: the ACS Journal of Surfaces and Colloids	6	 	4.269	4.562	1	16
Microbiology	6	 	0.813	0.903	1	44
Journal of Molecular Biology	6	 	4.008	4.095	1	38
"Acta Crystallographica. Sect. D, Biological Crystallography"	8	 	6.326	4.098	1	29
American Journal of Human Genetics	6	 	11.68	12.265	1	32
Lancet	8	 	33.633	32.498	1	93
Journal of Cell Science	6	 	6.29	6.731	1	65
Journal of the American Chemical Society	6	 	9.023	8.981	1	41
Molecular Cell	6	 	14.194	14.447	1	25
Molecular Microbiology	6	 	4.819	5.207	1	68
Cell	8	6	32.406	34.931	2	133
Molecular Microbiology	6	 	4.819	5.207	1	6
American Journal of Physiology. Lung Cellular and Molecular Physiology	8	 	4.137	4.244	1	33
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	40
Journal of the American Chemical Society	6	 	9.023	8.981	1	55
Genome Research	6	6	13.588	11.971	2	908
Plant Physiology	6	 	6.451	7.016	1	78
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	62
Journal of the American Chemical Society	6	 	9.023	8.981	1	19
The Plant Cell	8	 	9.396	10.648	1	142
Molecular Biology of the Cell	6	6	5.861	5.949	2	11
Journal of Cell Science	8	 	6.29	6.731	1	42
Science (New York)	10	 	31.377	31.777	1	139
Transplantation	6	 	3.676	3.66	1	44
Science (New York)	10	8	31.377	31.777	2	653
Clinical Therapeutics	6	 	2.551	3.06	1	11
Nature Cell Biology	8	8	19.407	19.578	2	99
Nature	8	8	36.104	35.248	2	154
Nature Genetics	8	 	36.377	32.701	1	143
Journal of Immunology	6	 	5.745	5.909	1	18
Cell	10	8	32.406	34.931	2	115
Developmental Biology	6	 	4.094	4.42	1	13
Cell	8	6	32.406	34.931	2	119
EMBO Reports	8	 	7.822	7.488	1	79
Ecology Letters	6	 	15.253	14.261	1	174
PLoS Biology	8	 	12.472	14.376	1	383
The Journal of Neuroscience	6	 	7.271	8.068	1	56
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	58
The American Naturalist	6	 	4.736	5.385	1	22
Nature Medicine	8	 	25.43	27.887	1	75
The Journal of Neuroscience	8	 	7.271	8.068	1	72
PLoS Genetics	6	 	9.543	10.054	1	109
Analytical Biochemistry	6	 	3.236	3.343	1	4
Molecular and Cellular Biology	6	 	6.188	6.381	1	33
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	137
Immunity	8	6	24.221	22.133	2	100
Developmental Biology	6	 	4.094	4.42	1	21
Nature Genetics	6	 	36.377	32.701	1	191
Biochemistry	6	6	3.226	3.15	2	110
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	154
Molecular Cell	6	 	14.194	14.447	1	175
Cell	6	6	32.406	34.931	2	272
Human Molecular Genetics	6	 	8.058	8.145	1	42
Applied and Environmental Microbiology	6	 	3.778	4.529	1	38
Ageing Research Reviews	6	 	9	7.868	1	46
Nature	8	6	36.104	35.248	2	2665
Molecular Biology of the Cell	6	 	5.861	5.949	1	89
Chembiochem	6	 	3.945	3.751	1	6
The Journal of Biological Chemistry	6	 	5.328	5.498	1	28
Science (New York)	6	 	31.377	31.777	1	72
Journal of Immunology	6	 	5.745	5.909	1	43
Immunological Reviews	8	 	13.462	11.968	1	38
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	48
American Journal of Epidemiology	8	 	5.745	6.105	1	33
Neuron	6	 	14.027	14.927	1	124
Biochemistry	8	 	3.226	3.15	1	33
Molecular Cell	6	 	14.194	14.447	1	55
Molecular Cell	8	 	14.194	14.447	1	81
Molecular Cell	6	 	14.194	14.447	1	34
Nature Structural &amp; Molecular Biology	8	6	13.685	12.481	2	68
Science (New York)	6	 	31.377	31.777	1	62
Neuron	8	 	14.027	14.927	1	85
Journal of Virology	6	 	5.189	5.257	1	55
Psychopharmacology	8	 	3.817	4.148	1	54
Developmental Cell	6	8	13.946	14.24	2	41
Current Biology	8	 	10.026	11.436	1	83
Journal of Cell Science	6	 	6.29	6.731	1	47
Molecular Microbiology	6	6	4.819	5.207	2	16
Nucleic Acids Research	6	 	7.836	7.314	1	28
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	159
The American Journal of Pathology	6	 	5.224	5.971	1	91
Environmental Science &amp; Technology	8	 	4.827	5.398	1	16
The Journal of Experimental Medicine	8	 	14.776	15.7	1	327
Science (New York)	6	 	31.377	31.777	1	32
Journal of Immunology	6	 	5.745	5.909	1	191
Cell Metabolism	8	 	18.207	20.13	1	306
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	171
PLoS Biology	6	 	12.472	14.376	1	117
PLoS Pathogens	8	8	9.079	9.675	2	152
Journal of Molecular Biology	8	 	4.008	4.095	1	48
Development	6	 	6.898	7.476	1	41
Nature Cell Biology	6	 	19.407	19.578	1	74
Nature Genetics	8	8	36.377	32.701	2	68
PLoS Biology	6	 	12.472	14.376	1	8
Science (New York)	10	6	31.377	31.777	2	647
Molecular Cell	6	 	14.194	14.447	1	88
Journal of Cell Science	8	 	6.29	6.731	1	64
Journal of Molecular Biology	6	 	4.008	4.095	1	65
EMBO Reports	10	 	7.822	7.488	1	259
Biochemistry	8	 	3.226	3.15	1	97
Science (New York)	8	 	31.377	31.777	1	88
The Journal of Biological Chemistry	6	 	5.328	5.498	1	52
Molecular Cell	6	 	14.194	14.447	1	21
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	320
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	98
The Journal of Biological Chemistry	6	 	5.328	5.498	1	32
Plant Physiology	6	 	6.451	7.016	1	9
Cell	8	8	32.406	34.931	2	199
Molecular and Cellular Biology	6	 	6.188	6.381	1	23
Developmental Biology	6	 	4.094	4.42	1	23
The Journal of Neuroscience	8	 	7.271	8.068	1	119
PLoS Genetics	6	6	9.543	10.054	2	73
The Journal of Cell Biology	6	 	9.921	10.123	1	61
Ecology	6	 	5.073	6.218	1	102
Science (New York)	6	 	31.377	31.777	1	148
Science (New York)	6	8	31.377	31.777	2	193
Biophysical Journal	6	 	4.218	4.692	1	18
Neuron	8	6	14.027	14.927	2	149
The Journal of Biological Chemistry	6	 	5.328	5.498	1	10
Nature Biotechnology	8	 	31.09	29.065	1	68
The Journal of Experimental Medicine	6	 	14.776	15.7	1	243
Molecular Biology of the Cell	6	 	5.861	5.949	1	79
Nature Genetics	6	 	36.377	32.701	1	78
Journal of Virology	6	 	5.189	5.257	1	131
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	65
Developmental Cell	6	 	13.946	14.24	1	15
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	35
Ecology Letters	6	6	15.253	14.261	2	68
PLoS Biology	6	 	12.472	14.376	1	356
Molecular Biology of the Cell	6	 	5.861	5.949	1	37
Science (New York)	6	 	31.377	31.777	1	86
Molecular Biology of the Cell	6	 	5.861	5.949	1	93
Nature Genetics	8	8	36.377	32.701	2	605
Nature	6	 	36.104	35.248	1	104
Infection and Immunity	6	 	4.098	4.091	1	23
Journal of Bacteriology	8	 	3.726	3.818	1	41
Nature Structural &amp; Molecular Biology	8	 	13.685	12.481	1	52
Nature	8	 	36.104	35.248	1	159
Traffic	6	 	5.278	5.473	1	16
Science (New York)	10	8	31.377	31.777	2	154
Molecular Cell	6	 	14.194	14.447	1	61
Development	6	 	6.898	7.476	1	109
Cell	10	6	32.406	34.931	2	512
Nature	6	8	36.104	35.248	2	68
Genes &amp; Development	8	 	12.889	13.892	1	149
The Journal of Clinical Investigation	10	 	14.152	16.641	1	353
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	202
Science (New York)	8	10	31.377	31.777	2	195
Science (New York)	10	 	31.377	31.777	1	181
Circulation	6	 	14.432	14.932	1	66
Journal of the American Chemical Society	10	8	9.023	8.981	2	27
Journal of the American Chemical Society	6	 	9.023	8.981	1	12
Nature	8	 	36.104	35.248	1	64
The Journal of Experimental Medicine	6	 	14.776	15.7	1	20
Nature	8	 	36.104	35.248	1	240
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	40
The Plant Journal: for Cell and Molecular Biology	8	6	6.948	7.325	2	180
Molecular Ecology	6	 	6.457	6.633	1	113
Journal of the American Chemical Society	6	 	9.023	8.981	1	52
Nature	10	 	36.104	35.248	1	658
Journal of the American Chemical Society	6	 	9.023	8.981	1	21
Cell Metabolism	8	 	18.207	20.13	1	68
Journal of the American Chemical Society	6	 	9.023	8.981	1	32
Molecular Cell	6	8	14.194	14.447	2	94
Molecular Cell	8	 	14.194	14.447	1	95
Molecular Cell	8	 	14.194	14.447	1	105
Molecular Cell	8	8	14.194	14.447	2	114
Nature	6	6	36.104	35.248	2	130
Cell	8	 	32.406	34.931	1	62
Journal of the American Chemical Society	6	 	9.023	8.981	1	60
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	1263
Cell Motility and the Cytoskeleton	6	 	3.071	2.882	1	10
Science (New York)	8	6	31.377	31.777	2	124
Neuron	6	 	14.027	14.927	1	69
Molecular Cell	8	 	14.194	14.447	1	100
Lancet Neurology	8	 	21.659	18.277	1	285
EMBO Reports	6	 	7.822	7.488	1	24
PLoS Genetics	8	 	9.543	10.054	1	31
The Journal of Biological Chemistry	6	 	5.328	5.498	1	68
Science (New York)	6	 	31.377	31.777	1	40
Nature Neuroscience	6	 	14.191	16.19	1	104
The Journal of Biological Chemistry	6	 	5.328	5.498	1	52
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	6
Science (New York)	10	8	31.377	31.777	2	991
Nature	8	 	36.104	35.248	1	795
Nature Genetics	8	 	36.377	32.701	1	305
Eukaryotic Cell	6	 	3.395	3.637	1	96
The EMBO Journal	6	 	10.124	9.369	1	83
EMBO Reports	6	 	7.822	7.488	1	79
TAG. Theoretical and Applied Genetics. Theoretische und Angewandte Genetik	8	 	3.264	3.785	1	36
The EMBO Journal	6	 	10.124	9.369	1	67
The Journal of Neuroscience	6	 	7.271	8.068	1	65
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	89
Hippocampus	8	 	4.609	5.289	1	66
Nature Cell Biology	6	 	19.407	19.578	1	166
Nucleic Acids Research	6	 	7.836	7.314	1	83
Endocrinology	6	 	4.993	5.265	1	31
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	26
Nature	8	8	36.104	35.248	2	337
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	37
Nature Cell Biology	6	 	19.407	19.578	1	120
Cell	8	 	32.406	34.931	1	264
Nature Immunology	8	6	25.668	25.934	2	213
PLoS Biology	8	 	12.472	14.376	1	181
Current Biology	6	 	10.026	11.436	1	251
PLoS Biology	6	6	12.472	14.376	2	57
Cell	8	8	32.406	34.931	2	196
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	15
Cell	6	10	32.406	34.931	2	70
Nature Biotechnology	8	 	31.09	29.065	1	185
The Journal of Experimental Medicine	6	 	14.776	15.7	1	13
Molecular Microbiology	8	 	4.819	5.207	1	54
Journal of Virology	8	 	5.189	5.257	1	36
The Journal of Experimental Medicine	6	 	14.776	15.7	1	573
Applied and Environmental Microbiology	6	 	3.778	4.529	1	45
Proteins	6	 	2.813	3.181	1	22
