Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Nature Reviews. Microbiology	8	 	20.686	20.17	1	37
Science (New York)	6	8	31.377	31.777	2	176
Proceedings. Biological Sciences / the Royal Society	10	 	5.064	5.443	1	66
Antimicrobial Agents and Chemotherapy	6	 	4.672	4.68	1	22
Clinical Infectious Diseases	6	 	8.186	7.898	1	154
The Journal of Antimicrobial Chemotherapy	8	 	4.659	4.48	1	128
Current Biology	6	 	10.026	11.436	1	30
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	423
PLoS Biology	6	6	12.472	14.376	2	58
Journal of Neurophysiology	6	 	3.114	3.686	1	34
Neuron	6	6	14.027	14.927	2	152
Nature	10	10	36.104	35.248	2	301
The American Journal of Pathology	8	 	5.224	5.971	1	12
Biophysical Journal	10	 	4.218	4.692	1	131
Hormones and Behavior	6	 	3.991	4.218	1	19
Journal of Clinical Microbiology	6	 	4.22	4.258	1	23
The Journal of Experimental Biology	6	 	3.04	3.424	1	32
Endocrinology	6	 	4.993	5.265	1	51
Nature Neuroscience	6	6	14.191	16.19	2	225
Cell	10	10	32.406	34.931	2	87
Genes &amp; Development	6	6	12.889	13.892	2	71
Radiology	8	 	6.069	6.413	1	13
Current Biology	8	 	10.026	11.436	1	210
Lancet	8	 	33.633	32.498	1	164
Antimicrobial Agents and Chemotherapy	6	 	4.672	4.68	1	80
The Journal of Membrane Biology	6	 	1.63	2.423	1	10
Journal of Immunology	6	 	5.745	5.909	1	41
Health Affairs (Project Hope)	6	 	3.792	3.455	1	47
Ecological monographs	8	 	5.938	8.827	1	161
The Plant Cell	6	8	9.396	10.648	2	33
Parasitology Research	6	 	1.812	1.723	1	20
Cell	6	 	32.406	34.931	1	246
Science (New York)	6	6	31.377	31.777	2	599
Cell	8	10	32.406	34.931	2	204
Science (New York)	8	 	31.377	31.777	1	84
Journal of Medicinal Chemistry	6	 	5.207	5.18	1	53
Behavioral Neuroscience	6	6	2.481	2.676	2	7
Cell	6	 	32.406	34.931	1	377
European Heart Journal	6	 	10.052	10.085	1	93
Development	6	6	6.898	7.476	2	62
Nature	8	6	36.104	35.248	2	73
Genes &amp; Development	8	 	12.889	13.892	1	38
Developmental Cell	6	6	13.946	14.24	2	134
Developmental Cell	6	8	13.946	14.24	2	141
Nature Structural &amp; Molecular Biology	6	6	13.685	12.481	2	29
The Journal of Biological Chemistry	6	 	5.328	5.498	1	88
PLoS Biology	6	6	12.472	14.376	2	180
Journal of the American Chemical Society	6	6	9.023	8.981	2	6
European Journal of Applied Physiology	8	6	2.214	2.526	2	33
American Journal of Physiology. Renal Physiology	6	 	3.792	3.835	1	46
The Journal of Experimental Medicine	10	8	14.776	15.7	2	249
Journal of the American Chemical Society	6	6	9.023	8.981	2	59
Lancet	6	 	33.633	32.498	1	296
The New England Journal of Medicine	6	8	53.486	52.363	2	610
Parasitology Research	6	 	1.812	1.723	1	4
Science (New York)	10	10	31.377	31.777	2	90
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	65
Biophysical Journal	6	 	4.218	4.692	1	33
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	81
Journal of Structural Biology	6	 	3.5	4.152	1	17
The New England Journal of Medicine	10	 	53.486	52.363	1	263
Cell	8	8	32.406	34.931	2	373
Cancer Cell	8	10	26.925	28.438	2	629
Genes &amp; Development	8	8	12.889	13.892	2	66
Science (New York)	8	8	31.377	31.777	2	136
Current Biology	6	8	10.026	11.436	2	114
Neuron	6	 	14.027	14.927	1	21
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	45
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	33
Ecology	6	 	5.073	6.218	1	81
PLoS Biology	6	 	12.472	14.376	1	150
Nature	8	8	36.104	35.248	2	80
Diabetes	6	 	8.889	8.484	1	53
Nature Structural &amp; Molecular Biology	8	8	13.685	12.481	2	8
Science (New York)	8	8	31.377	31.777	2	96
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	43
Science (New York)	8	10	31.377	31.777	2	165
Eukaryotic Cell	10	 	3.395	3.637	1	27
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	45
Genes &amp; Development	6	 	12.889	13.892	1	181
Journal of the American Chemical Society	6	 	9.023	8.981	1	60
Alzheimer Disease and Associated Disorders	6	 	2.583	3.168	1	7
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	146
Nature	10	8	36.104	35.248	2	110
The Journal of Experimental Medicine	8	8	14.776	15.7	2	318
