Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,0,0,Park,None,None,2016
SENIOR,46,17,Main Library,February,2015,2005
ADULT,829,200,Chinatown,June,2015,2003
JUVENILE,25,0,Visitacion Valley,February,2016,2013
ADULT,75,54,Noe Valley/Sally Brunn,May,2016,2009
ADULT,12,0,Mission,May,2016,2015
ADULT,5,0,Marina,November,2015,2015
ADULT,30,2,Main Library,June,2013,2004
ADULT,16,11,Main Library,May,2014,2011
YOUNG ADULT,0,0,Presidio,None,None,2015
ADULT,244,70,Merced,June,2015,2003
ADULT,27,11,Main Library,January,2014,2007
SENIOR,456,158,Richmond,October,2015,2003
ADULT,0,0,Richmond,None,None,2014
ADULT,693,495,Marina,July,2016,2003
ADULT,0,0,Excelsior,None,None,2013
ADULT,6,2,Glen Park,January,2015,2014
SENIOR,5,1,Bayview/Linda Brooks-Burton,July,2014,2014
ADULT,0,0,Park,None,None,2013
WELCOME,0,0,Main Library,None,None,2016
SENIOR,0,0,Excelsior,None,None,2012
JUVENILE,34,0,Mission,August,2015,2008
JUVENILE,0,0,Potrero,None,None,2016
YOUNG ADULT,443,87,Merced,June,2016,2007
ADULT,1,0,Sunset,January,2016,2016
ADULT,4,2,Main Library,May,2015,2015
ADULT,2048,1537,West Portal,July,2016,2003
ADULT,1,0,Richmond,January,2016,2015
ADULT,65,52,Main Library,July,2016,2013
SENIOR,2622,1169,Potrero,July,2016,2003
JUVENILE,0,0,Visitacion Valley,None,None,2016
ADULT,761,19,Excelsior,May,2016,2009
JUVENILE,528,29,North Beach,July,2016,2013
ADULT,55,41,Ingleside,September,2014,2008
ADULT,4,0,Chinatown,June,2016,2016
ADULT,5,19,Main Library,April,2015,2011
JUVENILE,4,0,Bernal Heights,April,2014,2014
SENIOR,0,0,Excelsior,None,None,2013
ADULT,66,30,Glen Park,May,2016,2005
YOUNG ADULT,1390,294,Ortega,June,2016,2005
ADULT,2,4,Main Library,November,2015,2012
ADULT,1,0,Excelsior,July,2015,2015
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2016
YOUNG ADULT,623,453,Ocean View,July,2016,2004
ADULT,27,12,Merced,April,2016,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,9,2,Main Library,August,2013,2012
ADULT,0,0,Parkside,None,None,2013
JUVENILE,20,0,Excelsior,August,2014,2012
ADULT,12,0,Main Library,February,2013,2012
ADULT,8,0,Main Library,January,2014,2003
ADULT,35,12,Mission,May,2016,2003
ADULT,198,12,Main Library,June,2016,2010
YOUNG ADULT,1012,59,Chinatown,July,2016,2003
ADULT,82,17,Main Library,April,2016,2014
ADULT,13,12,Parkside,September,2014,2013
JUVENILE,107,8,Mission,July,2016,2011
ADULT,368,102,Anza,July,2016,2005
SENIOR,638,13,Ingleside,July,2015,2007
ADULT,43,17,Chinatown,March,2016,2015
ADULT,19,1,Mission,December,2012,2012
YOUNG ADULT,9,0,Glen Park,May,2015,2011
SENIOR,74,2,Sunset,July,2016,2015
JUVENILE,68,8,Noe Valley/Sally Brunn,March,2015,2012
JUVENILE,44,54,Ingleside,May,2015,2014
ADULT,5,0,Main Library,July,2016,2016
ADULT,225,28,Richmond,July,2016,2007
ADULT,2,0,Ingleside,December,2014,2013
ADULT,152,34,Main Library,July,2014,2007
SENIOR,1051,630,Main Library,March,2014,2003
JUVENILE,2,0,Excelsior,April,2016,2016
ADULT,7,0,Main Library,July,2016,2016
JUVENILE,375,25,West Portal,July,2015,2012
SENIOR,37,3,Mission Bay,April,2016,2009
ADULT,501,611,Richmond,July,2016,2003
ADULT,28,4,Visitacion Valley,January,2016,2012
ADULT,37,1,Excelsior,November,2014,2009
JUVENILE,80,0,North Beach,April,2016,2012
ADULT,68,0,Chinatown,January,2013,2003
YOUNG ADULT,14,0,North Beach,November,2014,2007
SENIOR,224,216,Main Library,July,2014,2004
ADULT,5,0,Bayview/Linda Brooks-Burton,April,2016,2004
ADULT,93,48,Eureka Valley/Harvey Milk Memorial,May,2016,2010
ADULT,9,0,Golden Gate Valley,November,2012,2006
SENIOR,254,20,Excelsior,December,2015,2008
SENIOR,69,20,North Beach,March,2016,2010
ADULT,0,0,Main Library,None,None,2015
ADULT,10,22,North Beach,January,2016,2014
ADULT,0,0,Ingleside,None,None,2016
ADULT,349,38,Main Library,June,2016,2015
ADULT,15,20,Chinatown,June,2015,2011
JUVENILE,319,95,Ocean View,May,2016,2006
ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2013
ADULT,0,0,Main Library,None,None,2010
ADULT,0,0,Main Library,None,None,2013
ADULT,2,0,Mission,November,2013,2010
YOUNG ADULT,125,13,Main Library,October,2015,2012
ADULT,151,69,Eureka Valley/Harvey Milk Memorial,July,2016,2003
SENIOR,2,0,Excelsior,December,2014,2014
ADULT,33,2,Mission,December,2015,2004
ADULT,0,0,North Beach,None,None,2015
ADULT,90,3,West Portal,November,2013,2009
JUVENILE,3,0,Merced,January,2015,2014
JUVENILE,5,0,Noe Valley/Sally Brunn,July,2016,2015
ADULT,11,0,Bayview/Linda Brooks-Burton,January,2013,2013
ADULT,12,29,Sunset,October,2013,2011
JUVENILE,5,1,Marina,May,2013,2013
ADULT,7,2,Presidio,April,2016,2015
JUVENILE,100,63,Bayview/Linda Brooks-Burton,May,2015,2013
ADULT,27,14,Presidio,June,2016,2011
ADULT,13,22,Sunset,June,2016,2015
ADULT,579,1117,Park,July,2016,2003
STAFF,423,767,Main Library,December,2015,2003
SENIOR,574,1,Sunset,July,2016,2003
YOUNG ADULT,126,4,Bernal Heights,May,2014,2010
ADULT,387,20,Main Library,June,2016,2013
ADULT,554,160,Main Library,July,2016,2003
JUVENILE,6,0,Noe Valley/Sally Brunn,December,2015,2015
YOUNG ADULT,132,5,Portola,April,2016,2009
ADULT,285,52,Main Library,June,2016,2004
ADULT,53,72,Ingleside,July,2016,2014
ADULT,25,0,Western Addition,October,2013,2009
ADULT,226,218,Richmond,February,2014,2003
WELCOME,1,0,Main Library,October,2014,2014
ADULT,14,0,Ocean View,August,2015,2014
ADULT,1,0,Ingleside,December,2013,2010
ADULT,1,2,Main Library,June,2015,2015
ADULT,27,37,Parkside,April,2016,2013
ADULT,30,12,Eureka Valley/Harvey Milk Memorial,June,2010,2003
ADULT,75,14,Mission,September,2013,2004
YOUNG ADULT,7,0,Eureka Valley/Harvey Milk Memorial,July,2014,2014
SENIOR,54,3,Main Library,April,2014,2003
ADULT,9,22,Park,March,2014,2013
ADULT,21,3,Main Library,May,2014,2010
YOUNG ADULT,11,3,Main Library,November,2014,2004
YOUNG ADULT,7,0,Visitacion Valley,July,2016,2015
ADULT,7,0,Ingleside,February,2016,2014
ADULT,0,0,Main Library,None,None,2016
SENIOR,647,237,Presidio,July,2016,2003
WELCOME,0,0,Main Library,None,None,2014
ADULT,0,0,Park,None,None,2016
YOUNG ADULT,60,1,Bayview/Linda Brooks-Burton,June,2015,2008
ADULT,230,14,Glen Park,August,2015,2003
ADULT,1648,279,Main Library,April,2016,2003
JUVENILE,461,145,Presidio,July,2016,2010
ADULT,15,3,Main Library,April,2014,2010
ADULT,8,0,Main Library,May,2014,2009
SENIOR,70,37,Presidio,July,2016,2008
YOUNG ADULT,2,0,Bayview/Linda Brooks-Burton,September,2013,2013
ADULT,0,0,Mission,None,None,2013
ADULT,182,27,Main Library,June,2016,2005
ADULT,155,59,Presidio,July,2016,2003
ADULT,13,11,West Portal,April,2016,2007
JUVENILE,47,0,Sunset,June,2016,2015
SENIOR,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2015
ADULT,2583,2334,Chinatown,July,2016,2010
ADULT,631,961,Presidio,July,2016,2003
ADULT,7,6,Excelsior,July,2016,2010
ADULT,55,8,North Beach,October,2014,2005
ADULT,8,1,Marina,June,2016,2016
ADULT,31,48,West Portal,July,2016,2010
JUVENILE,31,0,Mission,March,2016,2011
ADULT,19,6,Excelsior,March,2015,2003
WELCOME,0,0,Main Library,None,None,2015
ADULT,4,0,Richmond,January,2016,2015
ADULT,159,116,Anza,June,2013,2003
ADULT,5,0,Main Library,July,2015,2012
WELCOME,0,0,Main Library,None,None,2014
ADULT,2,0,Glen Park,May,2012,2008
ADULT,0,0,Chinatown,None,None,2015
ADULT,263,85,Golden Gate Valley,July,2016,2004
ADULT,18,7,Main Library,July,2016,2008
SENIOR,415,30,Main Library,October,2014,2003
WELCOME,0,0,Parkside,None,None,2016
YOUNG ADULT,204,15,Portola,July,2016,2006
SENIOR,10,7,Park,July,2016,2012
SENIOR,0,0,West Portal,None,None,2015
JUVENILE,407,255,Sunset,November,2015,2009
ADULT,20,25,Main Library,January,2014,2010
ADULT,0,0,Mission Bay,None,None,2016
JUVENILE,26,0,Richmond,July,2016,2013
ADULT,5,2,Ingleside,December,2015,2015
ADULT,87,112,Park,July,2016,2003
JUVENILE,21,1,Chinatown,April,2015,2010
YOUNG ADULT,5,0,Anza,July,2014,2008
ADULT,0,0,Sunset,None,None,2015
ADULT,754,159,Main Library,July,2016,2012
JUVENILE,3,0,Glen Park,November,2013,2010
ADULT,0,0,Main Library,March,2014,2009
ADULT,3,0,Main Library,June,2016,2013
ADULT,34,3,North Beach,June,2016,2009
SENIOR,2,0,Library on Wheels,April,2016,2016
ADULT,36,9,Richmond,August,2010,2009
ADULT,50,16,Main Library,July,2014,2008
ADULT,194,177,Eureka Valley/Harvey Milk Memorial,January,2016,2009
ADULT,100,6,Sunset,March,2012,2003
ADULT,3072,1391,Main Library,July,2016,2003
YOUNG ADULT,104,59,Ortega,August,2015,2004
ADULT,346,13,Marina,July,2016,2003
JUVENILE,298,58,Bernal Heights,July,2016,2007
ADULT,2,0,North Beach,July,2016,2016
ADULT,769,533,Main Library,June,2016,2003
SENIOR,29,1,Main Library,July,2016,2015
YOUNG ADULT,0,0,Main Library,None,None,2016
ADULT,752,1557,West Portal,July,2016,2003
ADULT,0,0,Richmond,None,None,2013
ADULT,0,0,West Portal,None,None,2015
ADULT,28,0,Richmond,June,2014,2014
ADULT,500,153,Main Library,July,2016,2004
SENIOR,0,0,Noe Valley/Sally Brunn,None,None,2014
ADULT,0,0,Chinatown,None,None,2014
SENIOR,463,189,Ingleside,July,2016,2003
JUVENILE,16,0,Visitacion Valley,June,2013,2013
JUVENILE,2,0,Excelsior,March,2015,2015
YOUNG ADULT,102,3,Mission,August,2014,2009
ADULT,8,18,Main Library,October,2008,2003
SENIOR,40,32,Main Library,December,2013,2009
ADULT,0,0,Sunset,None,None,2012
ADULT,38,3,Bernal Heights,May,2016,2011
SENIOR,540,756,Western Addition,July,2016,2003
ADULT,72,62,Main Library,November,2015,2012
ADULT,10,0,Sunset,July,2016,2015
ADULT,2099,198,Richmond,July,2016,2008
WELCOME,3,0,Potrero,October,2014,2014
JUVENILE,4,0,Bayview/Linda Brooks-Burton,January,2015,2014
SENIOR,109,2,Marina,March,2016,2003
ADULT,7,0,Main Library,June,2016,2012
ADULT,0,0,Main Library,None,None,2015
ADULT,60,65,Portola,July,2016,2010
SENIOR,27,4,Main Library,June,2015,2003
ADULT,39,31,Presidio,October,2014,2008
ADULT,9,7,Richmond,July,2016,2015
YOUNG ADULT,97,14,Potrero,November,2015,2007
ADULT,37,77,Marina,February,2016,2013
SENIOR,21,4,Main Library,April,2016,2003
STAFF,1774,562,Mission,June,2016,2003
ADULT,1796,920,Anza,July,2016,2003
WELCOME,1,0,Main Library,July,2014,2014
SENIOR,103,6,Richmond,May,2016,2009
ADULT,143,43,Sunset,April,2012,2007
ADULT,0,0,Mission,None,None,2014
JUVENILE,626,51,Ortega,December,2015,2006
ADULT,6,0,Ingleside,April,2015,2014
JUVENILE,4,0,Western Addition,January,2013,2012
YOUNG ADULT,10,0,Portola,May,2014,2013
ADULT,181,85,Main Library,May,2014,2003
ADULT,10,2,Main Library,September,2015,2011
ADULT,40,1,Main Library,December,2015,2009
ADULT,23,22,Excelsior,July,2016,2004
ADULT,39,19,West Portal,December,2015,2003
ADULT,18,1,Visitacion Valley,September,2015,2011
ADULT,17,0,Main Library,January,2016,2008
ADULT,73,0,Noe Valley/Sally Brunn,June,2016,2015
ADULT,0,0,Main Library,None,None,2013
SENIOR,212,50,Mission Bay,July,2016,2006
ADULT,0,0,Potrero,None,None,2015
ADULT,6,9,Main Library,July,2016,2015
ADULT,0,0,Main Library,None,None,2012
ADULT,8,13,Parkside,January,2015,2014
WELCOME,1,0,Anza,January,2016,2015
ADULT,12,5,Potrero,March,2016,2015
ADULT,33,0,Chinatown,September,2015,2014
ADULT,235,74,Main Library,September,2015,2007
YOUNG ADULT,0,0,Main Library,None,None,2015
SENIOR,5,0,Chinatown,March,2014,2014
ADULT,9,0,Marina,December,2014,2010
ADULT,7,11,Parkside,October,2012,2012
ADULT,33,10,Portola,August,2015,2012
ADULT,30,0,Main Library,January,2016,2005
JUVENILE,311,109,Portola,January,2016,2006
ADULT,55,13,Main Library,June,2016,2010
ADULT,11,1,Main Library,July,2016,2015
ADULT,0,0,Mission,None,None,2015
ADULT,27,0,Eureka Valley/Harvey Milk Memorial,February,2015,2011
ADULT,10,0,Bayview/Linda Brooks-Burton,May,2016,2012
ADULT,51,18,Mission Bay,September,2014,2012
ADULT,3,0,Main Library,October,2014,2014
ADULT,125,3,Chinatown,December,2014,2011
ADULT,0,0,Parkside,None,None,2016
ADULT,437,541,Main Library,July,2014,2007
YOUNG ADULT,240,16,Ortega,July,2016,2004
JUVENILE,113,162,West Portal,July,2016,2015
ADULT,46,1,Excelsior,February,2014,2009
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,46,29,Main Library,February,2013,2008
ADULT,3,0,Main Library,September,2015,2009
ADULT,41,31,Richmond,February,2015,2004
ADULT,0,0,Presidio,None,None,2015
ADULT,3,0,Main Library,January,2014,2014
ADULT,4,3,Visitacion Valley,July,2012,2012
ADULT,2,0,Mission,September,2014,2014
JUVENILE,0,0,Excelsior,None,None,2013
ADULT,134,245,Main Library,September,2013,2010
ADULT,84,15,Chinatown,February,2015,2007
ADULT,1,0,Main Library,February,2016,2016
WELCOME,1,0,Bayview/Linda Brooks-Burton,April,2013,2013
YOUNG ADULT,114,11,Ortega,July,2016,2010
ADULT,6,0,Potrero,July,2016,2015
ADULT,1,0,Sunset,December,2015,2015
ADULT,4,1,North Beach,November,2013,2013
ADULT,34,24,Marina,June,2016,2003
YOUNG ADULT,62,8,Main Library,July,2016,2011
JUVENILE,401,244,Portola,June,2016,2010
ADULT,3,3,Main Library,August,2014,2014
ADULT,0,0,Main Library,None,None,2015
YOUNG ADULT,0,0,Main Library,None,None,2014
SENIOR,63,9,West Portal,February,2016,2004
ADULT,32,23,Richmond,May,2015,2009
ADULT,32,25,Merced,September,2013,2011
JUVENILE,30,2,Bayview/Linda Brooks-Burton,May,2015,2010
ADULT,38,6,Marina,March,2016,2007
ADULT,33,0,Anza,August,2015,2012
ADULT,0,0,Main Library,None,None,2012
ADULT,1267,1080,Excelsior,July,2016,2003
JUVENILE,2,0,Parkside,June,2016,2016
ADULT,0,0,Main Library,None,None,2014
YOUNG ADULT,24,0,Ingleside,May,2013,2013
ADULT,8,1,Main Library,April,2015,2014
JUVENILE,105,77,Richmond,April,2016,2012
ADULT,2,0,Sunset,May,2016,2016
ADULT,30,16,Golden Gate Valley,January,2016,2013
JUVENILE,1177,533,Excelsior,May,2015,2006
ADULT,21,3,Mission Bay,July,2016,2014
JUVENILE,96,6,Excelsior,June,2016,2006
ADULT,2,0,Main Library,October,2013,2013
ADULT,2,0,Excelsior,December,2008,2003
ADULT,34,26,Mission,April,2015,2012
JUVENILE,12,12,Sunset,July,2016,2016
ADULT,211,72,Chinatown,November,2015,2004
ADULT,2,2,Bayview/Linda Brooks-Burton,February,2015,2014
ADULT,2,0,North Beach,September,2014,2013
ADULT,18,13,Marina,July,2013,2007
ADULT,1,0,Bayview/Linda Brooks-Burton,October,2014,2014
JUVENILE,32,0,Main Library,March,2016,2015
JUVENILE,2,0,Excelsior,May,2016,2016
ADULT,0,0,Main Library,None,None,2010
ADULT,0,0,Main Library,None,None,2016
ADULT,0,0,Main Library,September,2015,2015
WELCOME,0,0,Presidio,None,None,2015
ADULT,6,0,Ingleside,August,2014,2014
SENIOR,0,0,Main Library,September,2010,2008
JUVENILE,38,10,Main Library,March,2015,2013
ADULT,47,11,Excelsior,December,2013,2003
ADULT,561,233,Richmond,June,2016,2003
ADULT,0,0,Presidio,None,None,2012
ADULT,981,383,Noe Valley/Sally Brunn,July,2016,2006
ADULT,12,7,Main Library,May,2016,2014
ADULT,13,11,Main Library,December,2010,2003
ADULT,2,3,Presidio,July,2016,2015
ADULT,2,2,North Beach,July,2013,2013
ADULT,108,16,Mission,May,2014,2007
ADULT,25,2,Main Library,May,2014,2010
ADULT,4,0,Main Library,November,2013,2013
ADULT,7,0,Main Library,April,2016,2015
JUVENILE,30,1,Bernal Heights,July,2016,2015
ADULT,0,0,Main Library,None,None,2005
JUVENILE,19,0,Excelsior,December,2013,2013
SENIOR,0,0,Noe Valley/Sally Brunn,None,None,2016
ADULT,0,0,Anza,None,None,2013
ADULT,847,273,Main Library,July,2016,2003
JUVENILE,102,1,Main Library,July,2015,2014
ADULT,0,0,Main Library,None,None,2014
DIGITAL ACCESS CARD,23,2,Main Library,November,2014,2013
ADULT,5,16,Main Library,May,2014,2012
ADULT,5,0,Bayview/Linda Brooks-Burton,March,2007,2003
WELCOME,1,0,Main Library,August,2013,2013
ADULT,19,14,Eureka Valley/Harvey Milk Memorial,December,2015,2012
ADULT,4,2,Mission,August,2013,2004
YOUNG ADULT,25,0,Mission,March,2016,2006
ADULT,314,232,Western Addition,July,2016,2009
JUVENILE,331,50,Ingleside,July,2016,2011
ADULT,10,0,Main Library,August,2014,2014
ADULT,8,15,North Beach,July,2016,2016
ADULT,3,0,Sunset,June,2014,2014
ADULT,198,3,Main Library,July,2016,2013
ADULT,64,103,Glen Park,January,2016,2012
WELCOME,1,0,Park,June,2016,2016
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,8,0,Sunset,May,2014,2003
ADULT,3,6,Main Library,November,2015,2015
JUVENILE,28,1,Marina,September,2015,2014
SENIOR,95,22,Main Library,July,2016,2008
SENIOR,1953,38,Main Library,April,2016,2007
SENIOR,29,0,Bernal Heights,June,2016,2009
ADULT,25,5,Main Library,August,2013,2010
ADULT,122,38,Main Library,May,2016,2003
ADULT,14,0,Western Addition,May,2015,2013
SENIOR,749,4,Main Library,July,2015,2014
ADULT,1,0,Eureka Valley/Harvey Milk Memorial,March,2014,2014
ADULT,0,0,Main Library,None,None,2012
ADULT,6,0,Main Library,July,2016,2015
ADULT,45,11,West Portal,March,2016,2007
ADULT,21,2,Presidio,August,2010,2008
ADULT,3,10,Mission Bay,May,2005,2005
JUVENILE,88,0,Excelsior,November,2015,2011
JUVENILE,1,0,Ortega,October,2015,2015
YOUNG ADULT,1,0,Excelsior,September,2013,2013
SENIOR,256,69,Sunset,July,2016,2003
JUVENILE,56,0,Excelsior,July,2015,2007
WELCOME,0,0,Main Library,None,None,2014
JUVENILE,104,5,Bernal Heights,August,2015,2010
JUVENILE,0,0,Chinatown,None,None,2015
ADULT,0,0,Marina,March,2013,2009
ADULT,528,6,Parkside,June,2013,2006
JUVENILE,422,0,Visitacion Valley,May,2016,2013
SENIOR,1101,44,Sunset,February,2016,2008
JUVENILE,78,0,Mission,June,2016,2016
ADULT,14,0,Chinatown,August,2013,2013
ADULT,322,11,Main Library,July,2016,2009
ADULT,272,218,Anza,July,2016,2007
SENIOR,1,2,Ingleside,July,2013,2013
WELCOME,1,0,Main Library,March,2014,2014
JUVENILE,133,0,Bayview/Linda Brooks-Burton,April,2015,2008
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,196,177,Potrero,April,2016,2003
ADULT,37,13,West Portal,May,2014,2007
ADULT,112,106,Mission Bay,February,2014,2004
ADULT,0,0,Main Library,None,None,2015
WELCOME,0,0,Chinatown,February,2014,2014
ADULT,100,18,Main Library,March,2015,2005
SENIOR,236,172,Main Library,November,2015,2003
ADULT,37,29,Richmond,June,2016,2011
ADULT,9,10,Eureka Valley/Harvey Milk Memorial,May,2016,2016
ADULT,395,1,Main Library,July,2016,2008
ADULT,238,55,Marina,March,2016,2007
ADULT,117,0,Main Library,August,2014,2011
YOUNG ADULT,29,1,West Portal,September,2013,2007
ADULT,162,0,Sunset,July,2016,2003
YOUNG ADULT,31,8,West Portal,July,2016,2015
ADULT,3,0,Merced,December,2013,2013
ADULT,167,152,Mission,April,2014,2008
ADULT,0,0,Bayview/Linda Brooks-Burton,February,2016,2015
ADULT,294,33,Sunset,April,2014,2003
ADULT,13,0,Anza,March,2015,2003
ADULT,105,213,Richmond,July,2016,2011
ADULT,10,0,Western Addition,August,2014,2013
ADULT,4,5,Anza,August,2014,2014
ADULT,253,14,Sunset,July,2016,2003
SENIOR,36,0,Sunset,November,2013,2009
ADULT,1,0,Main Library,March,2016,2016
JUVENILE,42,1,Ortega,October,2015,2013
ADULT,1,0,Portola,October,2014,2014
ADULT,191,406,Sunset,July,2016,2012
ADULT,2100,705,Chinatown,July,2016,2003
JUVENILE,1551,1989,Sunset,July,2016,2010
TEACHER CARD,48,18,Main Library,January,2016,2014
WELCOME,0,0,Main Library,None,None,2016
JUVENILE,54,4,Marina,March,2016,2008
ADULT,6,0,Mission,July,2014,2014
YOUNG ADULT,168,5,West Portal,November,2013,2003
JUVENILE,70,2,West Portal,April,2015,2009
YOUNG ADULT,35,35,Presidio,July,2016,2012
JUVENILE,0,0,Glen Park,None,None,2012
ADULT,312,4,Chinatown,September,2014,2004
ADULT,0,0,Anza,None,None,2014
ADULT,11,0,Golden Gate Valley,September,2015,2015
ADULT,215,79,Sunset,July,2013,2003
ADULT,28,6,Main Library,July,2016,2016
ADULT,6,2,Main Library,February,2013,2013
ADULT,9,2,Marina,December,2014,2014
SENIOR,119,75,Glen Park,June,2016,2003
JUVENILE,45,4,Eureka Valley/Harvey Milk Memorial,May,2015,2010
JUVENILE,846,12,Chinatown,May,2015,2010
ADULT,87,28,Marina,May,2016,2012
ADULT,39,22,Glen Park,July,2016,2003
YOUNG ADULT,72,0,Mission Bay,May,2014,2007
JUVENILE,46,0,Bayview/Linda Brooks-Burton,November,2013,2013
ADULT,21,4,Main Library,October,2015,2015
YOUNG ADULT,339,13,Glen Park,November,2015,2006
ADULT,0,0,Main Library,None,None,2016
JUVENILE,8,0,West Portal,March,2014,2013
ADULT,1,1,Marina,December,2014,2011
SENIOR,0,0,Main Library,April,2015,2014
ADULT,47,69,Main Library,July,2016,2012
JUVENILE,24,0,Noe Valley/Sally Brunn,January,2016,2012
SENIOR,576,61,Merced,December,2015,2003
ADULT,13,0,Mission,September,2013,2013
JUVENILE,213,94,Richmond,April,2015,2008
ADULT,175,199,Mission,June,2016,2008
ADULT,11,0,Main Library,August,2015,2013
ADULT,21,14,Main Library,May,2015,2011
ADULT,236,63,Main Library,August,2015,2009
SPECIAL,62,6,Main Library,April,2016,2011
ADULT,0,0,Main Library,None,None,2012
YOUNG ADULT,138,2,Excelsior,July,2015,2004
TEACHER CARD,873,186,Glen Park,July,2016,2003
YOUNG ADULT,0,0,Main Library,None,None,2016
WELCOME,0,0,Main Library,None,None,2014
YOUNG ADULT,21,3,Main Library,November,2014,2006
ADULT,1,2,West Portal,July,2016,2016
SENIOR,226,39,Chinatown,September,2013,2003
YOUNG ADULT,14,22,Sunset,June,2015,2011
ADULT,386,1,Main Library,April,2016,2013
ADULT,26,31,Richmond,July,2016,2006
ADULT,2,0,Marina,April,2013,2013
ADULT,2,0,Main Library,June,2015,2011
ADULT,60,8,Sunset,July,2016,2012
ADULT,175,283,Mission,July,2016,2013
ADULT,642,168,Mission Bay,July,2016,2003
ADULT,18,5,Excelsior,January,2009,2008
ADULT,5,5,Main Library,January,2016,2015
ADULT,9,1,Main Library,July,2014,2012
ADULT,5,1,Merced,January,2013,2012
ADULT,187,171,Ingleside,June,2015,2003
ADULT,59,16,Bayview/Linda Brooks-Burton,January,2016,2005
ADULT,14,0,Main Library,July,2013,2010
ADULT,115,5,Ingleside,November,2015,2006
ADULT,6,1,Noe Valley/Sally Brunn,June,2015,2013
ADULT,33,0,Richmond,July,2015,2003
ADULT,14,9,Main Library,October,2015,2015
ADULT,33,25,Portola,July,2016,2012
ADULT,0,0,Main Library,None,None,2014
ADULT,93,35,Richmond,May,2012,2003
ADULT,1127,100,Main Library,July,2016,2003
JUVENILE,39,11,Mission,May,2016,2014
ADULT,183,4,Mission,March,2015,2003
ADULT,132,19,Parkside,July,2016,2009
SENIOR,863,297,Noe Valley/Sally Brunn,November,2014,2003
ADULT,142,1,Main Library,July,2016,2016
ADULT,964,985,Sunset,July,2016,2009
ADULT,59,59,Marina,April,2016,2014
ADULT,1,0,Ortega,January,2015,2014
ADULT,179,107,Mission Bay,May,2015,2003
ADULT,55,38,Sunset,April,2016,2007
ADULT,17,25,Main Library,June,2016,2012
ADULT,0,0,Main Library,April,2014,2010
ADULT,31,19,West Portal,August,2015,2009
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,21,0,Park,April,2014,2011
ADULT,9,21,Richmond,January,2016,2011
JUVENILE,858,104,Unknown,July,2016,2011
ADULT,1,0,West Portal,June,2016,2016
ADULT,29,0,North Beach,January,2015,2014
SENIOR,26,7,Glen Park,April,2016,2003
ADULT,0,0,Main Library,None,None,2014
ADULT,38,36,Main Library,March,2014,2009
ADULT,1,3,Main Library,October,2014,2014
JUVENILE,468,60,Anza,May,2016,2007
SENIOR,124,46,Chinatown,April,2016,2003
ADULT,36,11,Ortega,March,2014,2011
ADULT,808,483,Main Library,March,2014,2003
ADULT,18,7,Main Library,December,2013,2005
ADULT,3,8,Main Library,June,2015,2011
JUVENILE,36,2,Excelsior,June,2015,2011
ADULT,47,25,West Portal,July,2016,2010
YOUNG ADULT,12,2,Potrero,May,2015,2011
JUVENILE,39,1,Main Library,July,2016,2015
SENIOR,2634,5,Main Library,June,2016,2005
ADULT,4,0,Parkside,May,2016,2015
YOUNG ADULT,2,0,Merced,July,2015,2013
ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2016
WELCOME,5,0,Main Library,April,2015,2015
SPECIAL,2,0,Library on Wheels,July,2015,2015
ADULT,1,0,Richmond,October,2015,2015
ADULT,21,32,Main Library,May,2014,2012
JUVENILE,44,0,Potrero,July,2016,2013
SENIOR,0,0,North Beach,None,None,2013
ADULT,253,25,Main Library,February,2016,2004
WELCOME,0,0,Richmond,None,None,2014
YOUNG ADULT,451,34,Ortega,July,2016,2006
ADULT,15,1,Richmond,April,2014,2003
ADULT,308,13,Ingleside,February,2016,2010
ADULT,22,9,Main Library,July,2013,2009
ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,None,None,2013
SENIOR,94,9,Marina,July,2016,2014
JUVENILE,162,24,Richmond,June,2016,2013
SENIOR,0,0,Ocean View,September,2010,2009
JUVENILE,47,0,Noe Valley/Sally Brunn,June,2016,2011
ADULT,3,0,Sunset,July,2016,2003
ADULT,7,0,Main Library,January,2010,2003
ADULT,113,107,Richmond,August,2015,2012
ADULT,0,0,Chinatown,May,2016,2015
ADULT,9,0,Western Addition,November,2013,2003
ADULT,0,0,Merced,None,None,2016
TEACHER CARD,7,0,Main Library,January,2016,2015
ADULT,206,39,West Portal,May,2016,2003
WELCOME,1,4,West Portal,February,2014,2013
JUVENILE,4,4,Ortega,July,2016,2016
ADULT,1,0,Park,August,2015,2012
DIGITAL ACCESS CARD,0,0,Park,None,None,2015
ADULT,0,0,Excelsior,None,None,2012
ADULT,16,0,Sunset,May,2014,2010
ADULT,71,128,Mission Bay,June,2016,2015
